date;nom_officiel_epci;code_officiel_epci;consommation;operateur;centroid
2018-01;Brest;242900314;238191738;GRTgaz;48.399766488,-4.470570034
2018-01;Tours;243700754;307638836;GRTgaz;47.38424743,0.629245819
2018-01;Saint-Etienne ;244200770;461584352;GRTgaz;45.472913756,4.418311566
2018-01;Orléans ;244500468;296039086;GRTgaz;47.89783828,1.9293242830000001
2018-02;Brest;242900314;247226661;GRTgaz;48.399766488,-4.470570034
2018-02;Montpellier;243400017;274728063;GRTgaz;43.615713457,3.863300356
2018-03;Rouen;200023414;904480872;GRTgaz;49.413131944,1.027548527
2018-03;Marseille;200054807;3204656057;GRTgaz;43.493308185,5.344536034
2018-03;Orléans;244500468;277554516;GRTgaz;47.89783828,1.9293242830000001
2018-03;Grand Nancy;245400676;362048708;GRTgaz;48.673467213,6.193510864
2018-04; Lyon;200046977;662167930;GRTgaz;45.763270618,4.853886453
2018-04;Marseille;200054807;1567825924;GRTgaz;43.493308185,5.344536034
2018-04;Rennes;243500139;173126677;GRTgaz;48.108214364,-1.711435099
2018-04;Clermont Auvergne;246300701;129428691;GRTgaz;45.771532407,3.090485542
2018-05;Nice;200030195;75557494;GRTgaz;44.021281136,7.154480276
2018-05; Lyon;200046977;508479168;GRTgaz;45.763270618,4.853886453
2018-05;Marseille;200054807;1153272311;GRTgaz;43.493308185,5.344536034
2018-05;Dijon;242100410;55508171;GRTgaz;47.306577753,5.040958764
2018-05;Tours;243700754;62662357;GRTgaz;47.38424743,0.629245819
2018-05;Orléans;244500468;83840665;GRTgaz;47.89783828,1.9293242830000001
2018-06;Dijon;242100410;30885829;GRTgaz;47.306577753,5.040958764
2018-06;Rennes;243500139;61275358;GRTgaz;48.108214364,-1.711435099
2018-06;Clermont Auvergne;246300701;52830694;GRTgaz;45.771532407,3.090485542
2018-07;Grenoble;200040715;100596194;GRTgaz;45.141957344,5.718258638
2018-07; Lyon;200046977;362035979;GRTgaz;45.763270618,4.853886453
2018-08;Rouen;200023414;401270840;GRTgaz;49.413131944,1.027548527
2018-09;Rennes;243500139;70016205;GRTgaz;48.108214364,-1.711435099
2018-09;Orléans;244500468;63937566;GRTgaz;47.89783828,1.9293242830000001
2018-10;Metz;200039865;113978612;GRTgaz;49.100843858,6.148999731
2018-10;Brest;242900314;79004364;GRTgaz;48.399766488,-4.470570034
2018-10;Nantes;244400404;219125695;GRTgaz;47.224910325,-1.593721407
2018-11;Rennes;243500139;347664443;GRTgaz;48.108214364,-1.711435099
2018-11;Tours;243700754;263280912;GRTgaz;47.38424743,0.629245819
2018-11;Lille;200093201;1143975449;GRTgaz;50.643899239,3.033354341
2018-12; Lyon;200046977;1515529158;GRTgaz;45.763270618,4.853886453
2018-12;Grand Paris;200054781;5924302050;GRTgaz;48.843924589,2.3981689040000003
2018-12;Dijon;242100410;298588347;GRTgaz;47.306577753,5.040958764
2018-12;Rennes;243500139;382614591;GRTgaz;48.108214364,-1.711435099
2018-12;Lille;200093201;1336310102;GRTgaz;50.643899239,3.033354341
2018-12;Euro Strasbourg;246700488;570066278;GRTgaz;48.572480043,7.717683131
2018-12;Toulon;248300543;165806518;GRTgaz;43.120017199,6.040528518
2019-01;Rouen;200023414;1062837378;GRTgaz;49.413131944,1.027548527
2019-01;Grenoble;200040715;549839973;GRTgaz;45.141957344,5.718258638
2019-01;Marseille;200054807;4594417023;GRTgaz;43.493308185,5.344536034
2019-01;Dijon;242100410;360104052;GRTgaz;47.306577753,5.040958764
2019-01;Rennes;243500139;477014126;GRTgaz;48.108214364,-1.711435099
2019-01;Tours;243700754;353246144;GRTgaz;47.38424743,0.629245819
2019-02;Rouen;200023414;868901755;GRTgaz;49.413131944,1.027548527
2019-02;Metz;200039865;257249892;GRTgaz;49.100843858,6.148999731
2019-02; Lyon;200046977;1427703231;GRTgaz;45.763270618,4.853886453
2019-03; Lyon;200046977;1208758313;GRTgaz;45.763270618,4.853886453
2019-03;Grand Paris;200054781;4544834592;GRTgaz;48.843924589,2.3981689040000003
2019-03;Tours;243700754;214255887;GRTgaz;47.38424743,0.629245819
2019-03;Clermont Auvergne;246300701;233181378;GRTgaz;45.771532407,3.090485542
2019-04;Grenoble;200040715;200173448;GRTgaz;45.141957344,5.718258638
2019-04;Dijon;242100410;126443347;GRTgaz;47.306577753,5.040958764
2019-04;Rennes;243500139;207077070;GRTgaz;48.108214364,-1.711435099
2019-05;Grand Paris;200054781;2184038168;GRTgaz;48.843924589,2.3981689040000003
2019-05;Marseille;200054807;2519870364;GRTgaz;43.493308185,5.344536034
2019-06;Grenoble;200040715;134635553;GRTgaz;45.141957344,5.718258638
